id,word,pronunciation
001,ноль,nol
002,один,adeen
003,два,dva
004,три,tri
005,четыре,chetyre
006,пять,pyat
007,шесть,shest
008,семь,sem
009,восемь,vosem
010,девять,devyat
011,десять,desyat
012,одиннадцать,odinnatdsat
013,двенадцать,dvenadtsat
014,тринадцать,trinadsat
015,четырнадцать,chetyrnadsat
016,пятнадцать,pyatnadtsat
017,шестнадцать,shetnadtsat
018,семнадцать,semnadtsat
019,восемьнадцать,vosemnadtsat
020,девятнадцать,devyatnadtsat
021,двадцать,dvadtsat
022,сто,sto
023,тысяча,tysyacha
024,десять тысяч,desyat tysyach
025,миллион,million
026,сто миллионов,sto nillionov
027,миллиард,miliard
